RO Name/Nom du DS,Occupation/Profession,Electoral District Name/Nom de circonscription,Electoral District Number/Numéro de circonscription,Province,Residence/Résidence
"Louis Girard","Teacher/Enseignant","Mississauga--Erin Mills","35060","Ontario","Mississauga"
"Fran Doda","Accountant/Comptable","Mississauga--Lakeshore","35061","Ontario","Mississauga"
"Vijay Kumar Ramadorai","Consultant","Mississauga--Malton","35062","Ontario","Mississauga"
"Arafat Arafat","Dental Technologist Denturist/Technologue dentaire et denturologue","Mississauga--Streetsville","35063","Ontario","Mississauga"
"Patricia Judith DiMillo","Retired/Retraitée","Nepean","35064","Ontario","Nepean"
"Alice Isabella Keenan","ESL Teacher/Enseignante ALS","Newmarket--Aurora","35065","Ontario","Newmarket"
"Robert (Bob) Michael Diakow","Retired/Retraité","Niagara Centre/Niagara-Centre","35066","Ontario","St. Catharines"
"Kathleen J. Quiquero","Finance/Finances","Niagara Falls","35067","Ontario","Niagara Falls"
"Robert Ciarlo","Retired/Retraité","Niagara West/Niagara-Ouest","35068","Ontario","Grimsby"
"Pauline Renaud","Homemaker/Personne au foyer","Nickel Belt","35069","Ontario","Chelmsford"
"James Thomas Mallory","Retired/Retraité","Nipissing--Timiskaming","35070","Ontario","North Bay"
"Kathleen Duffy","Certified Management Accountant/Comptable en management accréditée","Northumberland--Peterborough South/Northumberland--Peterborough-Sud","35071","Ontario","Cobourg"
"Surinder K. Sharma","Retired/Retraité","Oakville","35072","Ontario","Oakville"
"Diane Lindsey","Event Planner/Planificateure d'événements","Oakville North--Burlington/Oakville-Nord--Burlington","35073","Ontario","Burlington"
"Sylvie Duford","Orthotherapist/Orthothérapeute","Orléans","35076","Ontario","Orléans"
"Kenneth Charles Houston","Self-employed/Travail autonome","Oshawa","35074","Ontario","Oshawa"
"Gail Ann Lynch","Realtor/Agente immobilière","Ottawa Centre/Ottawa-Centre","35075","Ontario","Ottawa"
"Eileen Patricia Raven","Retired Teacher/Enseignante retraitée","Ottawa South/Ottawa-Sud","35077","Ontario","Ottawa"
"Arnold Finkelstein","Retired/Retraité","Ottawa West--Nepean/Ottawa-Ouest--Nepean","35079","Ontario","Ottawa"
"Rachel L. Crête","Retired/Retraitée","Ottawa--Vanier","35078","Ontario","Ottawa"
"Audrey E. Schultz","Retired/Retraitée","Oxford","35080","Ontario","Princeton"
"Marika Huska","Consultant/Consultante","Parkdale--High Park","35081","Ontario","Toronto"
"Kim Elaine Bordeleau","Aircraft Maintenance/Entretien d'avion","Parry Sound--Muskoka","35082","Ontario","Parry Sound"
"Patricia Anne Ranney","Project Manager/Gestionnaire de projet","Perth--Wellington","35083","Ontario","Stratford"
"Rodney Manley","Consultant","Peterborough--Kawartha","35084","Ontario","Peterborough"
"Joseph Birungi","Data Manager/Gestionnaire de données","Pickering--Uxbridge","35085","Ontario","Pickering"
"Robert Rantz","Retired/Retraité","Renfrew--Nipissing--Pembroke","35086","Ontario","Petawawa"
"Sharon Louise Rossi","Potter/Potier","Richmond Hill","35087","Ontario","Richmond Hill"
"Joseph Henriques","Consultant","St. Catharines","35089","Ontario","St. Catharines"
"Paul Rennie","Retired/Retraité","Sarnia--Lambton","35091","Ontario","Sarnia"
"Allan K. Hackett","Project Facilitator/Facilitateur de projet","Sault Ste. Marie","35092","Ontario","Sault Ste. Marie"
"Brian Terence Reid","Software Development Manager/Directeur de développement de logiciels","Scarborough Centre/Scarborough-Centre","35094","Ontario","Toronto"
"Hebe Ong-Lim","Director and Administrator of JLHO Enterprise Inc./Directrice et administratrice de JLHO entreprise Inc.","Scarborough North/Scarborough-Nord","35096","Ontario","Toronto"
"Patrick Smith","Realtor/Agent Immobilier","Scarborough Southwest/Scarborough-Sud-Ouest","35098","Ontario","Toronto"
"Mehboob Jadavji","Retired CPA - CGA/Comptable professionnel agréé retraité","Scarborough--Agincourt","35093","Ontario","Scarborough"
"Denis Neill Frazer","Retired/Retraité","Scarborough--Guildwood","35095","Ontario","Scarborough"
"Michael Pinto","Retired - Professional Woodturner/Tourneur de bois professionnel retraité","Scarborough--Rouge Park","35097","Ontario","Toronto"
"Ron Walker","Retired Engineer/Ingénieur retraité","Simcoe North/Simcoe-Nord","35100","Ontario","Washago"
"Ralph Edward Sneyd","Retired Teacher/Enseignant retraité","Simcoe--Grey","35099","Ontario","Collingwood"
"Michael Crawford Urban","Consultant","Spadina--Fort York","35101","Ontario","Toronto"
"Kimberley Ann Kubeck","Retired/Retraitée","Stormont--Dundas--South Glengarry","35102","Ontario","Alexandria"
"Ellen Kerr","Retired/Retraitée","Sudbury","35103","Ontario","Sudbury"
"Seymour Barry Stein","Chartered Accountant/Comptable agréé","Thornhill","35104","Ontario","Thornhill"
"Thompson George McCuaig","Retired/Retraité","Thunder Bay--Rainy River","35105","Ontario","Thunder Bay"
"William Earl Everitt","Retired/Retraité","Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord","35106","Ontario","Thunder Bay"
"Denise Labelle","Administration","Timmins--James Bay/Timmins--Baie James","35107","Ontario","Timmins"
"Brian Arthur Gerrior","Retired/Retraité","Toronto Centre/Toronto-Centre","35108","Ontario","Toronto"
"Diane Catherine Stevenson","Retired/Retraitée","Toronto--Danforth","35109","Ontario","Toronto"
"Kelly Walters","Bid Coordinator/Coordonnatrice, appels d'offre","Toronto--St. Paul's","35090","Ontario","Toronto"
"Lesley Singer","Businesswoman/Femme d'affaires","University--Rosedale","35110","Ontario","Toronto"
"Ralph Canale","Retired/Retraité","Vaughan--Woodbridge","35111","Ontario","Vaughan"
"Nick Arthur Driedger","Retired CEO/DGE retraité","Waterloo","35112","Ontario","Waterloo"
"Thomas H.L. Gallagher","Sales/Ventes","Wellington--Halton Hills","35113","Ontario","Georgetown"
"Paul M. Cloutier","Retired/Retraité","Whitby","35114","Ontario","Whitby"
"May Lynne Fong","Retired/Retraitée","Willowdale","35115","Ontario","Toronto"
"Thomas William Lynd","Consultant","Windsor West/Windsor-Ouest","35117","Ontario","Windsor"
"Mark Moore","Retired/Retraité","Windsor--Tecumseh","35116","Ontario","Windsor"
"Cathy Susan Martin","Coordinator Non-profit/Coordonnatrice, sans but lucratif","York Centre/York-Centre","35118","Ontario","Toronto"
"Ella Jackson","Real Estate/Immobilier","York South--Weston/York-Sud--Weston","35120","Ontario","Toronto"
"Nina Willcocks","Financial Manager/Directrice en Finances","York--Simcoe","35119","Ontario","Sutton West"
"Joni Denise Swidnicki","Retired/Retraitée","Brandon--Souris","46001","Manitoba","Brandon"
"Sherri Lorraine Vanderstel","Teacher/Enseignante","Charleswood--St. James--Assiniboia--Headingley","46002","Manitoba","Winnipeg"
"Li Cripps","Business Owner/Propriétaire d'entreprise","Churchill--Keewatinook Aski","46003","Manitoba","Thompson"
"Ron Clement","Commissionnaire","Dauphin--Swan River--Neepawa","46004","Manitoba","Russell-Binscarth"
"Jurgen Schmidt","Retired/Retraité","Elmwood--Transcona","46005","Manitoba","Winnipeg"
"Donna Gail Ghidoni","Educator/Trainer/Éducatrice/Entraineuse","Kildonan--St. Paul","46006","Manitoba","East St. Paul"
"Georges Cormier","Retired/Retraité","Portage--Lisgar","46007","Manitoba","La Salle"
"Brigitte Lise Suzanne Giesbrecht","Homemaker/Personne au foyer","Provencher","46008","Manitoba","Landmark"
"Tayeb Meridji","Retired/Retraité","Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital","46009","Manitoba","Winnipeg"
"Gayle Halliwell","Retired Educator/Artist/Enseignante retraitée/Artiste","Selkirk--Interlake--Eastman","46010","Manitoba","Sandy Hook"
"Jo-Anne G. Doty","Office Coordinator/Coordonnatrice de bureau","Winnipeg Centre/Winnipeg-Centre","46011","Manitoba","Winnipeg"
"Erlinda M. Dionisio","Health Care Worker/Travailleuse, domaine de la santé","Winnipeg North/Winnipeg-Nord","46012","Manitoba","Winnipeg"
"Lori Lynn Gray","Computer Services/Services informatiques","Winnipeg South/Winnipeg-Sud","46013","Manitoba","Winnipeg"
"Johanna Gail Denesiuk","Retired/Retraitée","Winnipeg South Centre/Winnipeg-Centre-Sud","46014","Manitoba","Winnipeg"
"Patricia Dawn Janko","Retired/Retraitée","Battlefords--Lloydminster","47001","Saskatchewan","North Battleford"
"Linda Louise Dykes","College Administrator/Administratrice de collège","Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek","47004","Saskatchewan","Saskatoon"
"Helen Maria Arnold","Retired/Retraitée","Cypress Hills--Grasslands","47002","Saskatchewan","Swift Current"
"Lester William Wyatt","Self-Employed/Travailleur autonome","Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill","47003","Saskatchewan","Canwood"
"Yves Bourdeau","Retired/Retraité","Moose Jaw--Lake Centre--Lanigan","47005","Saskatchewan","Moose Jaw"
"Barry Walter Hollick","Teacher/Enseignant","Prince Albert","47006","Saskatchewan","Prince Albert"
"Kelly Richter","Consultant/Consultante","Regina--Lewvan","47007","Saskatchewan","Regina"
"Juliette J.L. Horstman","Homemaker/Personne au foyer","Regina--Qu'Appelle","47008","Saskatchewan","Regina"
"Kathryn Buitenhuis","Retired/Retraitée","Regina--Wascana","47009","Saskatchewan","Regina"
"Dianne Celestine Zimmerman","Self-employed/Travailleuse autonome","Saskatoon West/Saskatoon-Ouest","47012","Saskatchewan","Saskatoon"
"Rhea Wynne Moat","Tutor/Tuteur","Saskatoon--Grasswood","47010","Saskatchewan","Saskatoon"
"Marvin William Dutton","Retired/Retraité","Saskatoon--University","47011","Saskatchewan","Saskatoon"
"Margaret Mary Tuchscherer","Self-employed/Travailleuse autonome","Souris--Moose Mountain","47013","Saskatchewan","Weyburn"
"Cynthia C. Kachur","Bookkeeper/Comptable","Yorkton--Melville","47014","Saskatchewan","Yorkton"
"Loren Dawn Braat","Self-employed/Travailleuse autonome","Banff--Airdrie","48001","Alberta","Airdrie"
"Clarence Kerry Grettum","Retired/Retraité","Battle River--Crowfoot","48002","Alberta","Bittern Lake"
"Daphne Louise Anstey-Martin","Commercial Account Manager/Gestionnaire de comptes commerciaux","Bow River","48003","Alberta","Newell County"
"Kevin Charles Allen","Art Administrator/Administrateur d'Art","Calgary Centre/Calgary-Centre","48004","Alberta","Calgary"
"Dave Paul Drader","Retired/Retraité","Calgary Confederation","48005","Alberta","Calgary"
"Nora O'Connell","Sales/Ventes","Calgary Forest Lawn","48006","Alberta","Calgary"
"Melvin Douglas Hansen","Retired/Retraité","Calgary Heritage","48007","Alberta","Calgary"
"Cheryl Schuett","Administration","Calgary Midnapore","48008","Alberta","Calgary"
"Merilyn Belle O'Bryan","Retired/Retraitée","Calgary Nose Hill","48009","Alberta","Calgary"
"Murray Arnold Young","Retired/Retraité","Calgary Rocky Ridge","48010","Alberta","Calgary"
"Michelle Katherine Groff","Medical Office Administrator/Administratrice de cabinet médical","Calgary Shepard","48011","Alberta","Calgary"
"Curtis Clinton Lawson","Retired/Retraité","Calgary Signal Hill","48012","Alberta","Calgary"
"Naushmeen Ameera Karbani","Office Adminstrator/Administratrice de bureau","Calgary Skyview","48013","Alberta","Calgary"
"David Starko","Self-employed/Travailleur autonome","Edmonton Centre/Edmonton-Centre","48014","Alberta","Edmonton"
"Will Gerard Chmilar","Consultant","Edmonton Griesbach","48015","Alberta","Edmonton"
"Benedicta Pui","Senior Management Assistant/Adjointe de la haute direction","Edmonton Manning","48016","Alberta","Edmonton"
"Donna Ruth Wilson","Finance/Finances","Edmonton Mill Woods","48017","Alberta","Edmonton"
"Earl Nent","Retired/Retraité","Edmonton Riverbend","48018","Alberta","Edmonton"
"John L. Edey","Retired/Retraité","Edmonton Strathcona","48019","Alberta","Edmonton"
"Brian Dennis Miller","Plant Manager/Directeur d'installation","Edmonton West/Edmonton-Ouest","48020","Alberta","Edmonton"
"Christopher John Ehmann","Engineering Sales and Service/Ventes et services d'ingénierie","Edmonton--Wetaskiwin","48021","Alberta","Leduc"
"JoAnn Caroline Partaker","Retired/Retraitée","Foothills","48022","Alberta","Okotoks"
"Marlene Garand","Author/Auteur","Fort McMurray--Cold Lake","48023","Alberta","Fort McMurray"
"Brennan David Thompson","Student/Étudiant","Grande Prairie--Mackenzie","48024","Alberta","Grande Prairie"
"Tannis Carmen Henderson","Consultant/Consultante","Lakeland","48025","Alberta","Vermilion"
"Arleen E. Albiez","Management/Gestion","Lethbridge","48026","Alberta","Lethbridge"
"Mary Ulbricht","Diagnostic Clerk/Commis de diagnostic","Medicine Hat--Cardston--Warner","48027","Alberta","Medicine Hat"
"Phyllis MacDougall","Retired/Retraitée","Peace River--Westlock","48028","Alberta","Westlock"
"Michelle Eadie","Certified Life Skills Coach and Group Facilitator/Animatrice en dynamique de la vie agréée et facilitatrice de groupe","Red Deer--Lacombe","48030","Alberta","Lacombe"
"Wayne A. Hutmacher","Retired/Retraité","Red Deer--Mountain View","48029","Alberta","Red Deer"
"William Wright","Retired/Retraité","St. Albert--Edmonton","48031","Alberta","St. Albert"
"James Arthur Retallack","Retired/Retraité","Sherwood Park--Fort Saskatchewan","48032","Alberta","Sherwood Park"
"Remi Boisvert","Retired/Retraité","Sturgeon River--Parkland","48033","Alberta","Spruce Grove"
"Norma E. Fahl","Retired/Retraitée","Yellowhead","48034","Alberta","Hinton"
"Phillip Joseph Dodd","Supervisor, Canada Revenue Agency/Superviseur, Agence du revenu du Canada","Abbotsford","59001","British Columbia/Colombie-Britannique","Abbotsford"
"Vicki Louise Bradbury","Retired/Retraitée","Burnaby North--Seymour/Burnaby-Nord--Seymour","59002","British Columbia/Colombie-Britannique","Burnaby"
"Vivian T. Price","Retired/Retraitée","Burnaby South/Burnaby-Sud","59003","British Columbia/Colombie-Britannique","Burnaby"
"Lorraine E. Grant","Retired/Retraitée","Cariboo--Prince George","59004","British Columbia/Colombie-Britannique","Prince George"
"Basil Skodyn","Retired/Retraité","Central Okanagan--Similkameen--Nicola","59005","British Columbia/Colombie-Britannique","Kelowna"
"Rodney Rockliff","IT Project Manager/Gestionnaire de projet TI","Chilliwack--Hope","59006","British Columbia/Colombie-Britannique","Victoria"
"Patrick Lucier","Retired/Retraité","Cloverdale--Langley City","59007","British Columbia/Colombie-Britannique","Langley"
"Bill Wong","Semi-Retired Realtor/Agent immobilier, semi-retraité","Coquitlam--Port Coquitlam","59008","British Columbia/Colombie-Britannique","Port Coquitlam"
"Ann Lynn Chandler","Semi-retired/Semi-retraitée","Courtenay--Alberni","59009","British Columbia/Colombie-Britannique","Port Alberni"
"Cassandra McClarnon","Senior Voting Analyst/Analyste de scrutin principale","Cowichan--Malahat--Langford","59010","British Columbia/Colombie-Britannique","Langford"
"Ronald B. Phillip","Optician/Opticien","Delta","59011","British Columbia/Colombie-Britannique","Delta"
"Kerry Fedosenko","Marriage Commissioner/Commissaire de mariage","Esquimalt--Saanich--Sooke","59026","British Columbia/Colombie-Britannique","Sooke"
"John Malcolm Wadley","Retired Police Officer/Agent de police retraité","Fleetwood--Port Kells","59012","British Columbia/Colombie-Britannique","Surrey"
"Nancy Plett","Consultant/Consultante","Kamloops--Thompson--Cariboo","59013","British Columbia/Colombie-Britannique","Kamloops"
"Wendy Creelman","Principal Consulting/Consultante principale","Kelowna--Lake Country","59014","British Columbia/Colombie-Britannique","Kelowna"
"Robert L. Switzer","Retired/Retraité","Kootenay--Columbia","59015","British Columbia/Colombie-Britannique","Nelson"
"Cathy Li","Retired/Retraitée","Langley--Aldergrove","59016","British Columbia/Colombie-Britannique","Langley"
"Kathi Maria Kopan","Reserve Officer in the Canadian Armed Forces/Officier de réserve dans les Forces armées canadiennes","Mission--Matsqui--Fraser Canyon","59017","British Columbia/Colombie-Britannique","Abbotsford"
"Donald Arthur Oliver","Retired/Retraité","Nanaimo--Ladysmith","59018","British Columbia/Colombie-Britannique","Nanaimo"
"Raymond Eldon Wilson","Office Assistant/Adjoint de bureau","New Westminster--Burnaby","59019","British Columbia/Colombie-Britannique","New Westminster"
"Alexander Bruce Gordon","Retired/Retraité","North Island--Powell River","59037","British Columbia/Colombie-Britannique","Comox"
"Sharon G. Morrison","Retired/Retraitée","North Okanagan--Shuswap","59020","British Columbia/Colombie-Britannique","Vernon"
"Tami Ann Reilly","Business Person/Femme d'affaires","North Vancouver","59021","British Columbia/Colombie-Britannique","North Vancouver"
"Ronald H. Climenhaga","Retired/Retraité","Pitt Meadows--Maple Ridge","59022","British Columbia/Colombie-Britannique","Pitt Meadows"
"Leslie Neil Budd","Retired/Retraité","Port Moody--Coquitlam","59023","British Columbia/Colombie-Britannique","Coquitlam"
"Jocelyn Eisert","CEO and Event Manager/DGE et gestionnaire d'évènement","Prince George--Peace River--Northern Rockies","59024","British Columbia/Colombie-Britannique","Fort St. John"
"Albert Yan Wei","Director of Human Resources/Directeur des ressources humaines","Richmond Centre/Richmond-Centre","59025","British Columbia/Colombie-Britannique","Richmond"
"Donna Jean Davidson","Consultant/Consultante","Saanich--Gulf Islands","59027","British Columbia/Colombie-Britannique","Saanichton"
"Warren Edward Wilson","Retired/Retraité","Skeena--Bulkley Valley","59028","British Columbia/Colombie-Britannique","Terrace"
"Roberta Mary Post","Retired - Marriage Commissioner/Retraité - Commissaire de mariage","South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest","59029","British Columbia/Colombie-Britannique","Rossland"
"Bryce G. Dudley","Retired/Retraité","South Surrey--White Rock/Surrey-Sud--White Rock","59030","British Columbia/Colombie-Britannique","Surrey"
"Ruth Helen Little","Clerk/Commis","Steveston--Richmond East/Steveston--Richmond-Est","59031","British Columbia/Colombie-Britannique","Richmond"
"Roddy James McRae","Realtor/Agent immobilier","Surrey Centre/Surrey-Centre","59032","British Columbia/Colombie-Britannique","Surrey"
"Madurai Rajoo","Realtor/Agent immobilier","Surrey--Newton","59033","British Columbia/Colombie-Britannique","Surrey"
"Doug Brian Cameron","Retired - Marriage Commissioner/Retraité - Commissaire de mariage","Vancouver Centre/Vancouver-Centre","59034","British Columbia/Colombie-Britannique","Vancouver"
"Peter Hamilton Walton","Business Owner/Entrepreneur","Vancouver East/Vancouver-Est","59035","British Columbia/Colombie-Britannique","Vancouver"
"Maria A. Cavezza","Business Travel Manager/Gestionnaire de voyages d'affaires","Vancouver Granville","59036","British Columbia/Colombie-Britannique","Vancouver"
"Frankie Kirby","Retired/Retraitée","Vancouver Kingsway","59038","British Columbia/Colombie-Britannique","Vancouver"
"Ulrike Radermacher","Researcher Project-Manager/Gestionnaire de projet et chercheuse","Vancouver Quadra","59039","British Columbia/Colombie-Britannique","Vancouver"
"Rizwana Jiwa","Consultant/Consultante","Vancouver South/Vancouver-Sud","59040","British Columbia/Colombie-Britannique","Vancouver"
"Margot Briggs","Consultant/Consultante","Victoria","59041","British Columbia/Colombie-Britannique","Victoria"
"Charles John Jeffery","Operations Manager/Gestionnaire des opérations","West Vancouver--Sunshine Coast--Sea to Sky Country","59042","British Columbia/Colombie-Britannique","Gibsons"
"Susan J. Edelman","Retired/Retraitée","Yukon","60001","Yukon","Whitehorse"
"Elizabeth A. Wyman","Businesswoman/Femme d'affaires","Northwest Territories/Territoires du Nord-Ouest","61001","Northwest Territories/Territoires du Nord-Ouest","Yellowknife"
"Isaac Omole","Information Technician/Technicien en informatique","Nunavut","62001","Nunavut","Iqaluit"
