district_code,name_english,pop,pop_lag,dwellings,occupied_dwellings,land_area,density
10001,Avalon (N.L.),78908,78381,40902,31710,8312.0668,9.4932
10002,Bonavista - Gander - Grand Falls - Windsor (N.L.),84735,86394,46350,35216,27140.8378,3.122
10003,Humber - St. Barbe - Baie Verte (N.L.),71563,73171,35904,29191,31075.0595,2.3029
10004,Labrador (N.L.),26728,26364,11023,9684,269135.5917,0.0993
10005,Random - Burin - St. George's (N.L.),69192,71219,36547,28870,34095.2965,2.0294
10006,St. John's East (N.L.),100559,88002,42183,39312,375.2055,268.0105
10007,St. John's South - Mount Pearl (N.L.),82851,81938,37366,34859,376.7015,219.9381
11001,Cardigan (P.E.I.),36005,35067,17538,14015,2550.419,14.1173
11002,Charlottetown (P.E.I.),34562,32174,16060,15000,44.3299,779.6544
11003,Egmont (P.E.I.),34598,34814,16056,13973,1483.0745,23.3286
11004,Malpeque (P.E.I.),35039,33796,17289,13474,1607.9063,21.7917
12001,Cape Breton - Canso (N.S.),68435,71968,34542,28669,8225.8392,8.3195
12002,Central Nova (N.S.),72114,72966,36535,30454,7720.8165,9.3402
12003,Dartmouth - Cole Harbour (N.S.),89163,87886,40719,38718,78.0258,1142.7374
12004,Halifax (N.S.),92515,89448,49104,43976,202.1165,457.7311
12005,Halifax West (N.S.),97710,88756,42070,40355,482.9904,202.3022
12006,Kings - Hants (N.S.),83306,81531,37146,34094,4124.0081,20.2003
12007,Cumberland - Colchester - Musquodoboit Valley (N.S.),87982,87895,45571,37626,9590.484,9.1739
12008,Sackville - Eastern Shore (N.S.),91266,86963,35272,33975,1073.135,85.0461
12009,South Shore - St. Margaret's (N.S.),82254,82855,44023,35787,8234.9494,9.9884
12010,Sydney - Victoria (N.S.),73328,76801,34502,30641,4324.8856,16.9549
12011,West Nova (N.S.),83654,86393,42671,35984,8882.1846,9.4182
13001,Acadie - Bathurst (N.B.),77792,78948,36482,33366,4675.2102,16.6393
13002,Beauséjour (N.B.),78076,76259,38485,31897,6364.749,12.2669
13003,Fredericton (N.B.),93181,85886,42258,39181,2825.1211,32.983
13004,Fundy Royal (N.B.),73484,69471,31308,28396,7006.161,10.4885
13005,Madawaska - Restigouche (N.B.),61106,62593,28661,26604,10551.1364,5.7914
13006,Miramichi (N.B.),51996,53844,24040,21732,14237.6171,3.652
13007,Moncton - Riverview - Dieppe (N.B.),98539,89334,46315,42975,185.9487,529.9257
13008,New Brunswick Southwest (N.B.),63618,63232,31035,25818,9805.8289,6.4878
13009,Saint John (N.B.),84670,82078,39187,36207,353.1429,239.7613
13010,Tobique - Mactaquac (N.B.),68709,68352,30694,27831,15372.269,4.4697
24001,Abitibi - Témiscamingue (Que.),103610,102795,48910,44556,37482.8651,2.7642
24002,Ahuntsic (Que.),100840,100471,49995,46690,18.1569,5553.8115
24003,Alfred-Pellan (Que.),110650,104765,43450,42099,119.2653,927.7636
24004,Argenteuil - Papineau - Mirabel (Que.),124180,111534,65036,51572,5200.2703,23.8795
24005,Beauce (Que.),108268,103617,48618,45140,4466.428,24.2404
24006,Beauharnois - Salaberry (Que.),109381,106856,50315,46890,2447.9935,44.6819
24007,Beauport - Limoilou (Que.),103556,101331,51655,50197,74.488,1390.2374
24008,Berthier - Maskinongé (Que.),112341,107911,53388,48225,3580.4657,31.3761
24009,Bourassa (Que.),100453,100683,45946,42705,15.0745,6663.7699
24010,Brome - Missisquoi (Que.),98632,92591,55135,43743,2788.2379,35.3743
24011,Brossard - La Prairie (Que.),128001,113985,51154,49625,168.1392,761.2799
24012,Chambly - Borduas (Que.),129315,116548,51502,50254,453.2386,285.3133
24013,Charlesbourg - Haute-Saint-Charles (Que.),102906,94522,46335,45408,108.7335,946.4057
24014,Montmorency - Charlevoix - Haute-Côte-Nord (Que.),93430,90535,46205,39998,22750.222,4.1068
24015,Châteauguay - Saint-Constant (Que.),113459,107165,44386,43282,300.2982,377.8211
24016,Chicoutimi - Le Fjord (Que.),96857,96483,45561,42670,40029.6731,2.4196
24017,Compton - Stanstead (Que.),105626,100148,48586,43368,4498.7483,23.479
24018,Drummond (Que.),98681,92982,45249,42972,1600.6155,61.6519
24019,Gaspésie - Îles-de-la-Madeleine (Que.),81991,82007,39258,35560,15242.6468,5.3791
24020,Gatineau (Que.),116780,108742,49519,48035,146.8918,795.0069
24021,Hochelaga (Que.),102114,100915,56898,53533,16.781,6085.0962
24022,Honoré-Mercier (Que.),109827,106196,46296,44701,38.7446,2834.6402
24023,Hull - Aylmer (Que.),124117,110902,58046,54882,125.8425,986.2884
24024,Jeanne-Le Ber (Que.),115821,112863,62498,58065,19.8674,5829.7009
24025,Joliette (Que.),113140,108169,63850,50449,10091.532,11.2114
24026,Jonquière - Alma (Que.),99258,97232,46140,43253,1524.8062,65.0955
24027,Lac-Saint-Louis (Que.),108436,105622,39982,38741,77.7829,1394.0853
24028,La Pointe-de-l'Île (Que.),99894,99685,47782,45697,41.8617,2386.2863
24029,LaSalle - Émard (Que.),99845,100327,47453,44910,20.2179,4938.4456
24030,Laurentides - Labelle (Que.),111342,105884,77303,51871,17770.2156,6.2657
24031,Laurier - Sainte-Marie (Que.),102342,101758,63582,58402,11.9352,8574.8039
24032,Laval (Que.),110376,102230,49116,47181,45.3696,2432.8185
24033,Laval - Les Îles (Que.),124527,111958,46475,45067,56.8594,2190.0864
24034,Lévis - Bellechasse (Que.),112385,105927,52885,48989,3202.5214,35.0927
24035,Longueuil - Pierre-Boucher (Que.),99571,98032,46265,44445,65.4206,1522.0129
24036,Lotbinière - Chutes-de-la-Chaudière (Que.),107566,100454,43928,42139,2056.9005,52.2952
24037,Louis-Hébert (Que.),104060,101730,51785,48971,97.3908,1068.4787
24038,Louis-Saint-Laurent (Que.),107291,96286,47498,46035,140.7955,762.0343
24039,Manicouagan (Que.),83220,83608,37801,34773,236022.7873,0.3526
24040,Marc-Aurèle-Fortin (Que.),115283,107149,45625,44478,56.2668,2048.8636
24041,Haute-Gaspésie - La Mitis - Matane - Matapédia (Que.),71389,73140,36535,32015,16038.2428,4.4512
24042,Mégantic - L'Érable (Que.),86851,87078,44568,38324,5580.5097,15.5633
24043,Montcalm (Que.),144141,122825,56912,54105,900.7498,160.0233
24044,Mount Royal (Que.),101273,98888,41909,39517,22.6662,4468.0185
24045,Notre-Dame-de-Grâce - Lachine (Que.),105306,104715,50415,47144,47.0306,2239.0954
24046,Abitibi - Baie-James - Nunavik - Eeyou (Que.),84659,80894,33662,30943,767417.3051,0.1103
24047,Outremont (Que.),95357,95771,48627,44168,14.1477,6740.1062
24048,Papineau (Que.),100396,101019,49920,47026,8.9264,11247.0873
24049,Pierrefonds - Dollard (Que.),108740,105504,40183,38964,51.1125,2127.4639
24050,Pontiac (Que.),105733,99589,55778,42608,27588.3072,3.8325
24051,Portneuf - Jacques-Cartier (Que.),104394,93526,47739,41843,7203.9843,14.4911
24052,Québec (Que.),96525,95433,57002,53358,32.3908,2980.0128
24053,Repentigny (Que.),119855,109636,49164,47845,257.0951,466.1894
24054,Bas-Richelieu - Nicolet - Bécancour (Que.),93779,91745,44822,41714,2750.6318,34.0936
24055,Richmond - Arthabaska (Que.),103887,100116,48127,44793,3429.8699,30.2889
24056,Rimouski-Neigette - Témiscouata - Les Basques (Que.),84809,84453,42898,37943,7744.1799,10.9513
24057,Rivière-des-Mille-Îles (Que.),104211,97258,41981,40971,112.8343,923.5755
24058,Montmagny - L'Islet - Kamouraska - Rivière-du-Loup (Que.),97261,97492,48492,42216,7314.8106,13.2964
24059,Rivière-du-Nord (Que.),115180,101576,53007,49531,451.101,255.3308
24060,Roberval - Lac-Saint-Jean (Que.),78765,78895,40361,33352,57155.6356,1.3781
24061,Rosemont - La Petite-Patrie (Que.),105813,105864,59968,56959,10.4186,10156.163
24062,Saint-Bruno - Saint-Hubert (Que.),105532,101416,42519,41510,109.2545,965.9282
24063,Saint-Hyacinthe - Bagot (Que.),99629,95983,45193,43010,1881.8907,52.9409
24064,Saint-Jean (Que.),108244,102902,47154,45524,686.2399,157.7349
24065,Saint-Lambert (Que.),92419,94541,45625,43325,25.0482,3689.6464
24066,Saint-Laurent - Cartierville (Que.),117950,109015,47658,45091,48.7048,2421.7326
24067,Saint-Léonard - Saint-Michel (Que.),108811,104786,45350,43210,20.015,5436.4726
24068,Saint-Maurice - Champlain (Que.),95944,96968,51958,44378,33188.5527,2.8909
24069,Shefford (Que.),107522,100377,47745,45835,1366.9303,78.6595
24070,Sherbrooke (Que.),104308,101681,54174,50200,164.6037,633.6917
24071,Terrebonne - Blainville (Que.),121095,107694,45547,44382,220.1252,550.1188
24072,Trois-Rivières (Que.),96880,94272,50375,46750,196.5475,492.9088
24073,Vaudreuil-Soulanges (Que.),139353,120395,55203,53288,855.3613,162.9171
24074,Verchères - Les Patriotes (Que.),104355,97726,41013,40010,659.7021,158.185
24075,Westmount - Ville-Marie (Que.),103263,100360,62931,53920,15.7441,6558.8379
35001,Ajax - Pickering (Ont.),137217,117183,44444,43650,272.2427,504.0245
35002,Algoma - Manitoulin - Kapuskasing (Ont.),74828,77961,42905,33009,96385.0922,0.7763
35003,Ancaster - Dundas - Flamborough - Westdale (Ont.),116357,111844,45554,42510,698.662,166.5426
35004,Barrie (Ont.),135711,128430,52185,49943,77.3895,1753.61
35005,Beaches - East York (Ont.),107084,104831,47558,45690,16.6369,6436.5357
35006,Bramalea - Gore - Malton (Ont.),192020,152698,55680,53250,143.0381,1342.4395
35007,Brampton - Springdale (Ont.),149130,131797,42937,41950,55.3524,2694.1921
35008,Brampton West (Ont.),204146,170422,63221,60493,103.2137,1977.8963
35009,Brant (Ont.),137102,125136,55749,53290,1128.3255,121.5093
35010,Burlington (Ont.),119615,118310,50046,49256,75.4479,1585.3987
35011,Cambridge (Ont.),136082,129434,51106,49689,300.4413,452.9404
35012,Carleton - Mississippi Mills (Ont.),149769,128915,53808,52402,1550.9321,96.5671
35013,Chatham-Kent - Essex (Ont.),105579,109484,45189,41683,1795.4746,58.8028
35014,Durham (Ont.),126833,118500,46922,45224,1509.3648,84.0307
35015,Davenport (Ont.),102360,104615,44334,41106,12.0797,8473.7204
35016,Don Valley East (Ont.),111363,109640,43970,42218,25.4524,4375.3438
35017,Don Valley West (Ont.),123200,117083,49718,48105,35.3748,3482.7052
35018,Dufferin - Caledon (Ont.),116341,111486,40906,39159,2174.4136,53.5045
35019,Eglinton - Lawrence (Ont.),113150,110066,46180,43943,22.6701,4991.1558
35020,Elgin - Middlesex - London (Ont.),114294,110028,45495,43319,2494.3613,45.8209
35021,Essex (Ont.),125878,123872,48780,45942,1347.8428,93.3922
35022,Etobicoke Centre (Ont.),113606,111349,43961,42953,36.2602,3133.077
35023,Etobicoke - Lakeshore (Ont.),122999,114641,58141,55323,41.71,2948.9091
35024,Etobicoke North (Ont.),111343,108501,37099,34938,46.4568,2396.6997
35025,Glengarry - Prescott - Russell (Ont.),112212,104309,44819,42983,2938.1948,38.1908
35026,Bruce - Grey - Owen Sound (Ont.),106475,105947,56913,43866,6111.4319,17.4223
35027,Guelph (Ont.),121688,114943,52409,48115,87.1486,1396.3277
35028,Haldimand - Norfolk (Ont.),108051,107775,46922,41868,2859.6601,37.7846
35029,Haliburton - Kawartha Lakes - Brock (Ont.),117576,119141,75494,48019,9520.8127,12.3494
35030,Halton (Ont.),203437,151943,67787,66639,537.4655,378.5117
35031,Hamilton Centre (Ont.),116398,117509,57202,52408,35.8868,3243.4767
35032,Hamilton East - Stoney Creek (Ont.),117721,116434,48768,47222,69.8977,1684.1899
35033,Hamilton Mountain (Ont.),125586,122729,47674,46571,42.3231,2967.3157
35034,Huron - Bruce (Ont.),104842,104313,51450,42414,5601.9364,18.7153
35035,Kenora (Ont.),55977,64291,29288,21549,292626.7577,0.1913
35036,Kingston and the Islands (Ont.),125227,119069,58879,53194,626.2072,199.9769
35037,Kitchener Centre (Ont.),109915,107540,47584,45651,43.5879,2521.6861
35038,Kitchener - Conestoga (Ont.),130937,114405,47440,46201,939.9558,139.3012
35039,Kitchener - Waterloo (Ont.),130162,126742,55991,50058,84.951,1532.2009
35040,Lanark - Frontenac - Lennox and Addington (Ont.),119617,117389,59814,47840,8516.9601,14.0446
35041,Leeds - Grenville (Ont.),99306,99206,45938,41074,3383.9336,29.3463
35042,London - Fanshawe (Ont.),106434,107218,43391,41168,101.1681,1052.051
35043,London North Centre (Ont.),117899,115250,62566,53386,59.7848,1972.0564
35044,London West (Ont.),127985,118335,56907,53971,80.1052,1597.7115
35045,Markham - Unionville (Ont.),136857,127191,40026,38394,60.2169,2272.7341
35046,Lambton - Kent - Middlesex (Ont.),106805,107635,45497,41215,4924.5564,21.6882
35047,Mississauga - Brampton South (Ont.),147096,136470,45441,44065,78.0073,1885.6697
35048,Mississauga East - Cooksville (Ont.),139039,126642,55390,52456,28.0631,4954.5132
35049,Mississauga - Erindale (Ont.),160663,143361,50069,49090,46.628,3445.6335
35050,Mississauga South (Ont.),112583,110932,43657,42315,57.3905,1961.701
35051,Mississauga - Streetsville (Ont.),132637,130033,40788,40218,43.6259,3040.327
35052,Nepean - Carleton (Ont.),159032,133245,56174,54865,1128.0518,140.9793
35053,Newmarket - Aurora (Ont.),133181,121924,46069,45100,88.1144,1511.4556
35054,Niagara Falls (Ont.),128357,126696,56742,51858,508.78,252.2839
35055,Niagara West - Glanbrook (Ont.),122134,111024,44662,43692,1016.4735,120.1546
35056,Nickel Belt (Ont.),92391,89377,40933,36409,30200.6475,3.0592
35057,Nipissing - Timiskaming (Ont.),90995,90963,42864,38485,13901.9241,6.5455
35058,Northumberland - Quinte West (Ont.),125261,123706,55481,50714,2404.4538,52.0954
35059,Oak Ridges - Markham (Ont.),228997,169642,71815,69800,679.8959,336.8119
35060,Oakville (Ont.),119649,113714,43941,42873,78.2665,1528.7383
35061,Oshawa (Ont.),125322,116881,51481,49404,69.906,1792.7217
35062,Ottawa Centre (Ont.),114043,109336,61814,57047,32.3435,3525.9944
35063,Ottawa - Orléans (Ont.),119287,109950,43344,42589,133.0208,896.7545
35064,Ottawa South (Ont.),121921,117581,50889,48938,73.259,1664.246
35065,Ottawa - Vanier (Ont.),103687,101611,53306,48629,36.8686,2812.339
35066,Ottawa West - Nepean (Ont.),111457,109735,50110,48034,65.2067,1709.2875
35067,Oxford (Ont.),105719,102756,43367,41554,2039.5305,51.835
35068,Parkdale - High Park (Ont.),105103,102142,51615,48328,14.7828,7109.8168
35069,Parry Sound - Muskoka (Ont.),91263,90281,74344,38185,12536.395,7.2798
35070,Perth - Wellington (Ont.),104912,103874,42111,39918,3580.1436,29.3039
35071,Peterborough (Ont.),118938,116626,56012,49268,1905.2541,62.4263
35072,Pickering - Scarborough East (Ont.),107910,106602,36247,35568,49.4156,2183.7234
35073,Prince Edward - Hastings (Ont.),117057,113227,57156,48723,6654.8166,17.5898
35074,Renfrew - Nipissing - Pembroke (Ont.),102537,98803,49226,42316,11452.8525,8.953
35075,Richmond Hill (Ont.),129609,122614,43576,42606,46.8918,2764.0014
35076,St. Catharines (Ont.),112015,112869,51143,48134,70.6101,1586.3878
35077,St. Paul's (Ont.),116463,111131,61353,58108,15.1957,7664.2076
35078,Sarnia - Lambton (Ont.),106293,105360,47254,44644,1477.676,71.9325
35079,Sault Ste. Marie (Ont.),88869,89028,43434,38205,6744.8234,13.1759
35080,Scarborough - Agincourt (Ont.),112048,111867,38801,37218,23.9213,4684.0264
35081,Scarborough Centre (Ont.),111911,108010,43063,40668,27.5376,4063.9344
35082,Scarborough - Guildwood (Ont.),111138,108813,40161,38591,31.8445,3490.0218
35083,Scarborough - Rouge River (Ont.),135102,130974,39883,38705,51.1746,2640.0206
35084,Scarborough Southwest (Ont.),108693,102196,43284,41580,29.7182,3657.4557
35085,Simcoe - Grey (Ont.),134530,125985,63454,51351,2399.431,56.0675
35086,Simcoe North (Ont.),121119,119400,62029,49261,2184.3411,55.4488
35087,Stormont - Dundas - South Glengarry (Ont.),100913,99764,43680,41738,2665.1502,37.8639
35088,Sudbury (Ont.),92048,92161,45103,41558,854.5664,107.7131
35089,Thornhill (Ont.),140265,131978,47663,46706,75.7304,1852.1624
35090,Thunder Bay - Rainy River (Ont.),82984,85153,40103,35000,32696.8314,2.538
35091,Thunder Bay - Superior North (Ont.),80702,82589,40419,34543,70478.1978,1.1451
35092,Timmins - James Bay (Ont.),81957,80791,37048,33659,246275.6748,0.3328
35093,Toronto Centre (Ont.),130323,121407,77444,71575,13.3374,9771.2448
35094,Toronto - Danforth (Ont.),104017,103655,46698,44811,19.751,5266.4169
35095,Trinity - Spadina (Ont.),144733,115361,85204,75833,18.5535,7800.8462
35096,Vaughan (Ont.),196068,154206,58634,56964,218.456,897.5171
35097,Welland (Ont.),112727,112875,51674,46096,528.8467,213.1563
35098,Wellington - Halton Hills (Ont.),115880,111241,42169,40700,1487.9093,77.8811
35099,Whitby - Oshawa (Ont.),146307,135893,51756,50414,222.3049,658.1366
35100,Willowdale (Ont.),140456,129356,61430,57611,30.4816,4607.8946
35101,Windsor - Tecumseh (Ont.),115528,118478,50919,48020,162.8722,709.3169
35102,Windsor West (Ont.),118973,122219,54396,48467,78.1369,1522.6225
35103,York Centre (Ont.),118358,113457,46554,44807,38.9061,3042.1451
35104,York - Simcoe (Ont.),128703,120371,50584,45727,1078.1332,119.3758
35105,York South - Weston (Ont.),116606,114458,46808,44646,24.8134,4699.3157
35106,York West (Ont.),108198,103948,39369,36270,30.5576,3540.7885
46001,Brandon - Souris (Man.),89575,84602,39615,36207,19405.744,4.6159
46002,Charleswood - St. James - Assiniboia (Man.),81864,81469,34631,34042,204.75,399.8242
46003,Churchill (Man.),78485,75232,26674,22721,414257.7454,0.1895
46004,Dauphin - Swan River - Marquette (Man.),74800,75103,36120,30135,46493.7912,1.6088
46005,Elmwood - Transcona (Man.),83002,78700,34139,33356,46.2138,1796.0436
46006,Kildonan - St. Paul (Man.),88752,81532,35427,34593,175.7833,504.8944
46007,Portage - Lisgar (Man.),92863,85653,33998,32376,14236.3248,6.523
46008,Provencher (Man.),98463,87737,41929,34298,22066.7663,4.462
46009,Saint Boniface (Man.),89486,84473,39091,37682,65.1343,1373.8691
46010,Selkirk - Interlake (Man.),93272,90807,48123,36036,35168.336,2.6522
46011,Winnipeg Centre (Man.),82026,81017,39584,35944,28.4174,2886.471
46012,Winnipeg North (Man.),84479,79366,30654,28756,34.6529,2437.8623
46013,Winnipeg South (Man.),93330,84424,34632,33570,112.3532,830.684
46014,Winnipeg South Centre (Man.),77871,78286,38072,36422,33.5071,2324.0149
47001,Battlefords - Lloydminster (Sask.),76295,71184,34190,29021,32130.7168,2.3745
47002,Blackstrap (Sask.),85541,76273,38250,35695,10921.0982,7.8326
47003,Desnethé - Missinippi - Churchill River (Sask.),71376,67937,29843,21714,309072.3745,0.2309
47004,Cypress Hills - Grasslands (Sask.),60983,60551,29560,24924,73267.3253,0.8323
47005,Palliser (Sask.),68544,65956,31730,29996,7486.7561,9.1554
47006,Prince Albert (Sask.),74228,71159,30903,28836,14827.9097,5.006
47007,Regina - Lumsden - Lake Centre (Sask.),70276,65885,31679,27472,14067.6788,4.9956
47008,Regina - Qu'Appelle (Sask.),71219,66698,31119,27941,12345.7591,5.7687
47009,Saskatoon - Humboldt (Sask.),82743,75051,36152,33093,11664.0365,7.0939
47010,Saskatoon - Rosetown - Biggar (Sask.),72893,69547,30274,28329,10935.7879,6.6655
47011,Saskatoon - Wanuskewin (Sask.),82553,72867,34648,32087,10233.8201,8.0667
47012,Souris - Moose Mountain (Sask.),68013,63238,31318,27641,39823.7026,1.7079
47013,Wascana (Sask.),82241,75717,35860,34085,3826.4257,21.4929
47014,Yorkton - Melville (Sask.),66476,66094,34986,28811,37635.8165,1.7663
48001,Fort McMurray - Athabasca (Alta.),115372,100805,49972,40539,176648.5086,0.6531
48002,Calgary East (Alta.),111223,110479,45172,42562,113.3403,981.3191
48003,Calgary Centre-North (Alta.),114784,114615,55694,51675,48.0473,2388.9792
48004,Calgary Northeast (Alta.),150003,129015,47755,45697,125.9456,1191.0142
48005,Calgary - Nose Hill (Alta.),152363,130942,53071,51844,93.9551,1621.6576
48006,Calgary Centre (Alta.),127891,124197,72851,66246,41.5135,3080.7087
48007,Calgary Southeast (Alta.),152929,125738,58111,56275,115.4951,1324.1168
48008,Calgary Southwest (Alta.),136011,120750,53126,51637,76.6977,1773.3387
48009,Calgary West (Alta.),149593,132162,59255,56748,89.0626,1679.6388
48010,Crowfoot (Alta.),125481,114825,50271,46242,42810.4625,2.9311
48011,Edmonton - Mill Woods - Beaumont (Alta.),137228,112919,48431,46040,178.2531,769.8492
48012,Edmonton Centre (Alta.),122822,120326,67383,60759,55.0078,2232.8106
48013,Edmonton East (Alta.),135254,128199,57378,52944,48.982,2761.3001
48014,Edmonton - Leduc (Alta.),150234,116986,59114,56339,421.2276,356.6575
48015,Edmonton - St. Albert (Alta.),136688,126447,51524,49922,107.0062,1277.3839
48016,Edmonton - Sherwood Park (Alta.),136897,118073,52888,50535,306.0612,447.2864
48017,Edmonton - Spruce Grove (Alta.),151389,128945,58512,55866,1009.3558,149.9858
48018,Edmonton - Strathcona (Alta.),101178,99267,52381,47215,80.9075,1250.5392
48019,Lethbridge (Alta.),125561,113531,51824,47324,10992.7378,11.4222
48020,Macleod (Alta.),123778,107638,48836,44414,28303.1537,4.3733
48021,Medicine Hat (Alta.),119670,113085,49874,45888,32661.8858,3.6639
48022,Peace River (Alta.),150925,138009,59137,54357,168289.5673,0.8968
48023,Red Deer (Alta.),134312,124063,57731,52771,4103.1323,32.734
48024,Vegreville - Wainwright (Alta.),117230,111427,48042,43967,29882.2436,3.9231
48025,Westlock - St. Paul (Alta.),108518,101010,43380,39251,22155.7255,4.898
48026,Wetaskiwin (Alta.),113780,107914,48318,42297,14996.4504,7.5871
48027,Wild Rose (Alta.),138617,115872,57625,50672,28054.456,4.941
48028,Yellowhead (Alta.),105526,103111,47351,40249,78272.692,1.3482
59001,Abbotsford (B.C.),133765,124515,50002,46530,400.8297,333.7203
59002,Burnaby - Douglas (B.C.),123275,112119,50810,48399,57.5116,2143.4806
59003,Burnaby - New Westminster (B.C.),131917,118713,55650,52502,40.6903,3241.9766
59004,Cariboo - Prince George (B.C.),108840,106382,48842,44044,86993.4039,1.2511
59005,Chilliwack - Fraser Canyon (B.C.),121737,112118,54373,48437,29553.574,4.1192
59006,Delta - Richmond East (B.C.),111411,106103,40904,39729,246.6864,451.6301
59007,Pitt Meadows - Maple Ridge - Mission (B.C.),131746,120662,50812,48138,2601.0866,50.6504
59008,Esquimalt - Juan de Fuca (B.C.),132300,120669,58514,54470,1796.1842,73.6561
59009,Fleetwood - Port Kells (B.C.),160129,123243,52493,49174,105.9573,1511.2597
59010,Kamloops - Thompson - Cariboo (B.C.),120218,114675,57714,50201,43789.3264,2.7454
59011,Kelowna - Lake Country (B.C.),134732,122214,62933,56691,1582.5354,85.1368
59012,Kootenay - Columbia (B.C.),88026,86811,49310,37726,62881.5262,1.3999
59013,Langley (B.C.),129824,117858,51235,48856,320.6222,404.9127
59014,Nanaimo - Alberni (B.C.),127275,121434,60821,55383,8324.9777,15.2883
59015,Nanaimo - Cowichan (B.C.),131118,125149,61383,55877,3849.3832,34.0621
59016,Newton - North Delta (B.C.),127954,118649,40260,37962,51.0802,2504.9628
59017,New Westminster - Coquitlam (B.C.),122899,111231,52607,49812,52.2124,2353.8278
59018,Okanagan - Shuswap (B.C.),121062,116236,61234,50944,13780.8671,8.7848
59019,North Vancouver (B.C.),127330,122371,53589,51069,411.5611,309.383
59020,Okanagan - Coquihalla (B.C.),113836,107316,54150,48470,10351.99,10.9965
59021,Port Moody - Westwood - Port Coquitlam (B.C.),129706,116563,48706,46476,649.347,199.7484
59022,Prince George - Peace River (B.C.),105782,105865,46800,41929,243588.8031,0.4343
59023,Richmond (B.C.),125710,114137,48775,46341,47.2558,2660.2026
59024,Saanich - Gulf Islands (B.C.),116749,115724,56111,49872,504.014,231.6384
59025,Skeena - Bulkley Valley (B.C.),89998,91926,41347,35524,322382.4534,0.2792
59026,British Columbia Southern Interior (B.C.),97952,95477,53058,43552,26248.3438,3.7317
59027,South Surrey - White Rock - Cloverdale (B.C.),127729,111756,52654,50102,149.6869,853.3078
59028,Surrey North (B.C.),125963,111960,46808,42557,44.878,2806.7873
59029,Vancouver Centre (B.C.),137269,123701,91682,82618,15.0771,9104.4697
59030,Vancouver East (B.C.),110097,106816,54262,50141,21.5311,5113.3941
59031,Vancouver Island North (B.C.),118374,113356,57209,51431,49144.6115,2.4087
59032,Vancouver Kingsway (B.C.),124938,119815,47561,44536,20.9707,5957.741
59033,Vancouver Quadra (B.C.),121865,119627,54505,50300,47.6035,2560.0008
59034,Vancouver South (B.C.),123679,120284,45024,42461,26.2117,4718.4654
59035,Victoria (B.C.),110942,108771,63352,56292,40.2785,2754.3727
59036,West Vancouver - Sunshine Coast - Sea to Sky Country (B.C.),133910,129241,69875,56091,12386.2219,10.8112
60001,Yukon (Y.T.),33897,30372,16259,14117,474712.6409,0.0714
61001,Western Arctic (N.W.T.),41462,41464,17175,14700,1143793.472,0.0362
62001,Nunavut (Nvt.),31906,29474,10077,8661,1877787.616,0.017
