district_code,district_name,party,candidate_last,candidate_first
24045,Notre-Dame-de-Grâce--Lachine,Independent,Lovett,David Andrew
24045,Notre-Dame-de-Grâce--Lachine,NDP,Morin,Isabelle
24046,Abitibi--Baie-James--Nunavik--Eeyou,Liberal,Gervais,Léandre
24046,Abitibi--Baie-James--Nunavik--Eeyou,Green,Kasudluak,Johnny
24046,Abitibi--Baie-James--Nunavik--Eeyou,Bloc,Lévesque,Yvon
24046,Abitibi--Baie-James--Nunavik--Eeyou,Conservative,Matte,Jean-Maurice
24046,Abitibi--Baie-James--Nunavik--Eeyou,NDP,Saganash,Romeo
24047,Outremont,Communist,Boyden,Johan
24047,Outremont,Liberal,Cauchon,Martin
24047,Outremont,Bloc,Daoust,Élise
24047,Outremont,Rhinoceros,Gaudet,Tommy
24047,Outremont,Conservative,Husny,Rodolphe
24047,Outremont,NDP,Mulcair,Thomas
24047,Outremont,Green,Pilon,Francois
24048,Papineau,Bloc,Barbot,Vivian
24048,Papineau,Conservative,Chopra,Shama
24048,Papineau,Marxist-Leninist,Macrisopoulos,Peter
24048,Papineau,Green,Polifroni,Danny
24048,Papineau,NDP,Tejada,Marcos Radhames
24048,Papineau,Liberal,Trudeau,Justin
24048,Papineau,No Affiliation,Young,Joseph
24049,Pierrefonds--Dollard,NDP,Blanchette-Lamothe,Lysane
24049,Pierrefonds--Dollard,Conservative,Evereklian,Agop
24049,Pierrefonds--Dollard,Bloc,Jolicoeur,Nicolas
24049,Pierrefonds--Dollard,Green,Lumer,Jonathan
24049,Pierrefonds--Dollard,Liberal,Patry,Bernard
24050,Pontiac,Conservative,Cannon,Lawrence
24050,Pontiac,Liberal,Duncan McMillan,Cindy
24050,Pontiac,Marxist-Leninist,Legros,Benoit
24050,Pontiac,Green,Mayrand,Louis-Philippe
24050,Pontiac,NDP,Ravignat,Mathieu
24050,Pontiac,Bloc,Tremblay,Maude
24051,Portneuf--Jacques-Cartier,Independent,Arthur,André
24051,Portneuf--Jacques-Cartier,Bloc,Côté,Richard
24051,Portneuf--Jacques-Cartier,Green,Delorme,Claudine
24051,Portneuf--Jacques-Cartier,NDP,Michaud,Élaine
24051,Portneuf--Jacques-Cartier,Liberal,Thériault,Réjean
24052,Québec,Green,Dutil,Yvan
24052,Québec,Bloc,Gagnon,Christiane
24052,Québec,Christian Heritage,Jetchick,Stefan
24052,Québec,Conservative,Morasse,Pierre
24052,Québec,NDP,Papillon,Annick
24052,Québec,Liberal,Payeur,François
24053,Repentigny,Green,Duchaine,Michel
24053,Repentigny,Bloc,Dufour,Nicolas
24053,Repentigny,NDP,Larose,Jean-François
24053,Repentigny,Liberal,Perreault,Chantal
24053,Repentigny,Conservative,Royer,Christophe
24054,Bas-Richelieu--Nicolet--Bécancour,Liberal,Blais,Rhéal
24054,Bas-Richelieu--Nicolet--Bécancour,Conservative,Cartier,Charles
24054,Bas-Richelieu--Nicolet--Bécancour,NDP,Lalonde,Krista
24054,Bas-Richelieu--Nicolet--Bécancour,Bloc,Plamondon,Louis
24054,Bas-Richelieu--Nicolet--Bécancour,Green,Tanguay,Anne-Marie
24055,Richmond--Arthabaska,Conservative,Bachand,Jean-Philippe
24055,Richmond--Arthabaska,Bloc,Bellavance,André
24055,Richmond--Arthabaska,Green,Bombardier,Tomy
24055,Richmond--Arthabaska,NDP,Maguire,Isabelle
24055,Richmond--Arthabaska,Liberal,Talbot,Marie-Josée
24056,Rimouski-Neigette--Témiscouata--Les Basques,Liberal,Cadieux,Pierre
24056,Rimouski-Neigette--Témiscouata--Les Basques,NDP,Caron,Guy
24056,Rimouski-Neigette--Témiscouata--Les Basques,Conservative,Denis,Bertin
24056,Rimouski-Neigette--Témiscouata--Les Basques,Bloc,Guimond,Claude
24056,Rimouski-Neigette--Témiscouata--Les Basques,Green,Pelletier,Clément
24057,Rivière-des-Mille-Îles,Green,Bisson,Gilles
24057,Rivière-des-Mille-Îles,Bloc,Desnoyers,Luc
24057,Rivière-des-Mille-Îles,Liberal,Joannette,Denis
24057,Rivière-des-Mille-Îles,Conservative,Leblanc,Lucie
24057,Rivière-des-Mille-Îles,NDP,Liu,Laurin
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Bloc,Arsenault,Nathalie
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Liberal,Caddell,Andrew
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Conservative,Généreux,Bernard
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,NDP,Lapointe,François
24058,Montmagny--L'Islet--Kamouraska--Rivière-du-Loup,Green,Tremblay,Lynette
24059,Rivière-du-Nord,Conservative,Charron,Sylvain
24059,Rivière-du-Nord,NDP,Dionne Labelle,Pierre
24059,Rivière-du-Nord,Bloc,Guay,Monique
24059,Rivière-du-Nord,Liberal,Juteau,Jonathan
24059,Rivière-du-Nord,Green,Piché,René
24060,Roberval--Lac-Saint-Jean,Liberal,Garneau,Bernard
24060,Roberval--Lac-Saint-Jean,NDP,Guay,Yvon
24060,Roberval--Lac-Saint-Jean,Conservative,Lebel,Denis
24060,Roberval--Lac-Saint-Jean,Bloc,Pilote,Claude
24060,Roberval--Lac-Saint-Jean,Green,Simard,Steeve
24061,Rosemont--La Petite-Patrie,Liberal,Beauregard,Kettly
24061,Rosemont--La Petite-Patrie,Rhinoceros,Berthiaume,Jean-Patrick
24061,Rosemont--La Petite-Patrie,Bloc,Bigras,Bernard
24061,Rosemont--La Petite-Patrie,NDP,Boulerice,Alexandre
24061,Rosemont--La Petite-Patrie,Marxist-Leninist,Chénier,Stéphane
24061,Rosemont--La Petite-Patrie,Conservative,Forté,Sébastien
24061,Rosemont--La Petite-Patrie,Green,Muldeen,Sameer
24062,Saint-Bruno--Saint-Hubert,Conservative,Charbonneau Barron,Nicole
24062,Saint-Bruno--Saint-Hubert,Green,Denoncourt,Germain
24062,Saint-Bruno--Saint-Hubert,Bloc,Lavallée,Carole
24062,Saint-Bruno--Saint-Hubert,Liberal,Picard,Michel
24062,Saint-Bruno--Saint-Hubert,NDP,Sellah,Djaouida
24063,Saint-Hyacinthe--Bagot,Green,Beaudoin-Bussières,Johany
24063,Saint-Hyacinthe--Bagot,Conservative,Dagenais,Jean-Guy
24063,Saint-Hyacinthe--Bagot,NDP,Morin,Marie-Claude
24063,Saint-Hyacinthe--Bagot,Bloc,Thi Lac,Ève-Mary Thaï
24063,Saint-Hyacinthe--Bagot,Liberal,Vallée,Denis
24064,Saint-Jean,Bloc,Bachand,Claude
24064,Saint-Jean,NDP,Brahmi,Tarik
24064,Saint-Jean,Liberal,David,Robert
24064,Saint-Jean,Conservative,Thouin,Jean
24064,Saint-Jean,Green,Tremblay,Pierre
24065,Saint-Lambert,Bloc,Beaudin,Josée
24065,Saint-Lambert,Green,Budilean,Carmen
24065,Saint-Lambert,NDP,Groguhé,Sadia
24065,Saint-Lambert,Conservative,Hamidi,Qais
24065,Saint-Lambert,Liberal,Stanners,Roxane
24066,Saint-Laurent--Cartierville,Marxist-Leninist,Deschamps,Fernand
24066,Saint-Laurent--Cartierville,Liberal,Dion,Stéphane
24066,Saint-Laurent--Cartierville,Bloc,Fayad,William
24066,Saint-Laurent--Cartierville,NDP,Florez,Maria Ximena
24066,Saint-Laurent--Cartierville,Green,Landry,Tim
24066,Saint-Laurent--Cartierville,Conservative,Litvin,Svetlana
24067,Saint-Léonard--Saint-Michel,Bloc,Bernier,Alain
24067,Saint-Léonard--Saint-Michel,Marxist-Leninist,Colly,Garnet
24067,Saint-Léonard--Saint-Michel,Conservative,De Ioris,Riccardo
24067,Saint-Léonard--Saint-Michel,Green,Di Pardo,Michael
24067,Saint-Léonard--Saint-Michel,Liberal,Pacetti,Massimo
24067,Saint-Léonard--Saint-Michel,NDP,Peressini,Roberta
24068,Saint-Maurice--Champlain,Green,Audette,Pierre
24068,Saint-Maurice--Champlain,Conservative,Grenier,Jacques
24068,Saint-Maurice--Champlain,Bloc,Laforest,Jean-Yves
24068,Saint-Maurice--Champlain,NDP,St-Denis,Lise
24068,Saint-Maurice--Champlain,Liberal,Tousignant,Yves
24069,Shefford,Green,Daoust,Patrick
24069,Shefford,Liberal,Demers,Bernard
24069,Shefford,NDP,Genest,Réjean
24069,Shefford,Conservative,Leclerc,Mélisa
24069,Shefford,Bloc,Vincent,Robert
24070,Sherbrooke,Bloc,Cardin,Serge
24070,Sherbrooke,Liberal,Deslauriers,Éric
24070,Sherbrooke,NDP,Dusseault,Pierre-Luc
24070,Sherbrooke,Conservative,Harvey,Pierre
24070,Sherbrooke,Green,Laberge,Jacques
24070,Sherbrooke,Rhinoceros,Landry,Crédible Berlingot
24071,Terrebonne--Blainville,NDP,Borg,Charmaine
24071,Terrebonne--Blainville,Bloc,Bourgeois,Diane
24071,Terrebonne--Blainville,Liberal,Frégeau,Robert
24071,Terrebonne--Blainville,Green,Paulette,Michel
24071,Terrebonne--Blainville,Conservative,Payment,Jean-Philippe
24072,Trois-Rivières,Rhinoceros,Arsenault,Francis
24072,Trois-Rivières,NDP,Aubin,Robert
24072,Trois-Rivières,Bloc,Brunelle,Paule
24072,Trois-Rivières,Independent,Fortin,Marc-André
24072,Trois-Rivières,Green,Lacroix,Louis
24072,Trois-Rivières,Conservative,Lacroix,Pierre
24072,Trois-Rivières,Liberal,Mangin,Patrice
24073,Vaudreuil-Soulanges,Conservative,Boudreau,Marc
24073,Vaudreuil-Soulanges,Bloc,Faille,Meili
24073,Vaudreuil-Soulanges,Green,Massenet,Jean-Yves
24073,Vaudreuil-Soulanges,NDP,Nicholls,Jamie
24073,Vaudreuil-Soulanges,Liberal,Pelchat,Lyne
24074,Verchères--Les Patriotes,Conservative,Alfaro,Rodrigo
24074,Verchères--Les Patriotes,NDP,Hassainia,Sana
24074,Verchères--Les Patriotes,Green,Lapierre,Thomas
24074,Verchères--Les Patriotes,Bloc,Malo,Luc
24074,Verchères--Les Patriotes,Liberal,Therrien-Péloquin,Pier-Luc
24075,Westmount--Ville-Marie,Green,Carkner,Andrew
24075,Westmount--Ville-Marie,NDP,Corbeil,Joanne
24075,Westmount--Ville-Marie,Conservative,Drabkin,Neil
24075,Westmount--Ville-Marie,Liberal,Garneau,Marc
24075,Westmount--Ville-Marie,Rhinoceros,Haliburton,Victoria
24075,Westmount--Ville-Marie,Bloc,Roy,Véronique
24075,Westmount--Ville-Marie,Communist,Sloan,Bill
35001,Ajax--Pickering,Conservative,Alexander,Chris
35001,Ajax--Pickering,Green,Harilaid,Mike
35001,Ajax--Pickering,Liberal,Holland,Mark
35001,Ajax--Pickering,United,Kesic,Bob
35001,Ajax--Pickering,NDP,Koppens,Jim
35002,Algoma--Manitoulin--Kapuskasing,Liberal,Cloutier,François
35002,Algoma--Manitoulin--Kapuskasing,NDP,Hughes,Carol
35002,Algoma--Manitoulin--Kapuskasing,Green,Rekmans,Lorraine A.
35002,Algoma--Manitoulin--Kapuskasing,Conservative,Sturgeon,Ray
35003,Ancaster--Dundas--Flamborough--Westdale,Liberal,Braden,Dave
35003,Ancaster--Dundas--Flamborough--Westdale,Marxist-Leninist,Ghaddar,Jamilé
35003,Ancaster--Dundas--Flamborough--Westdale,Libertarian,Giles,Anthony
35003,Ancaster--Dundas--Flamborough--Westdale,NDP,MacBain,Nancy
35003,Ancaster--Dundas--Flamborough--Westdale,Green,Ormond,Peter Michael
35003,Ancaster--Dundas--Flamborough--Westdale,Conservative,Sweet,David
35004,Barrie,Conservative,Brown,Patrick
35004,Barrie,NDP,Clark,Myrna
35004,Barrie,Green,Jacoby-Hawkins,Erich
35004,Barrie,Marxist-Leninist,Nugent,Christine
35004,Barrie,Libertarian,Roskam,Darren
35004,Barrie,Canadian Action,Sakula,Jeff
35004,Barrie,Liberal,Wilson,Colin
35005,Beaches--East York,Conservative,Burrows,Bill
35005,Beaches--East York,Green,Cameron,Aaron
35005,Beaches--East York,Marxist-Leninist,Carter,Roger
35005,Beaches--East York,NDP,Kellway,Matthew
35005,Beaches--East York,Liberal,Minna,Maria
35006,Bramalea--Gore--Malton,Marxist-Leninist,Chilelli,Frank
35006,Bramalea--Gore--Malton,Conservative,Gosal,Bal
35006,Bramalea--Gore--Malton,Liberal,Malhi,Gurbax S.
35006,Bramalea--Gore--Malton,Green,Moulton,John R.A.
35006,Bramalea--Gore--Malton,NDP,Singh,Jagmeet
35007,Brampton--Springdale,Liberal,Dhalla,Ruby
35007,Brampton--Springdale,Conservative,Gill,Parm
35007,Brampton--Springdale,NDP,Grewal,Manjit
35007,Brampton--Springdale,Green,Hoffberg,Mark
35007,Brampton--Springdale,Communist,Rowley,Elizabeth
35008,Brampton West,Liberal,Kania,Andrew
35008,Brampton West,Independent,Koum Njoh,Theodore
35008,Brampton West,Conservative,Seeback,Kyle
35008,Brampton West,NDP,Shergill,Jagtar
35008,Brampton West,Green,Soor,Avtaar
35009,Brant,Independent,Bory,Leslie
35009,Brant,Green,Fueten,Nora
35009,Brant,NDP,Laferriere,Marc
35009,Brant,Conservative,McColeman,Phil
35009,Brant,Independent,Sitko,Martin
35009,Brant,Liberal,St. Amand,Lloyd
35010,Burlington,Marxist-Leninist,Baetz,Elaine
35010,Burlington,Liberal,Brierley,Alyssa
35010,Burlington,NDP,Laird,David
35010,Burlington,Green,Mayberry,Graham Reid
35010,Burlington,Conservative,Wallace,Mike
35011,Cambridge,Marxist-Leninist,Couto,Manuel
35011,Cambridge,NDP,Galvao,Susan
35011,Cambridge,Conservative,Goodyear,Gary
35011,Cambridge,Green,Malette,Jacques
35011,Cambridge,Liberal,May,Bryan
35012,Carleton--Mississippi Mills,Green,Hogg,John
35012,Carleton--Mississippi Mills,Liberal,McCrimmon,Karen
35012,Carleton--Mississippi Mills,Conservative,O'Connor,Gordon
35012,Carleton--Mississippi Mills,NDP,Peters,Erin
35013,Chatham-Kent--Essex,Liberal,Daudlin,Matt
35013,Chatham-Kent--Essex,NDP,Franko,Ron
35013,Chatham-Kent--Essex,Green,Hodgson,Robert
35013,Chatham-Kent--Essex,Conservative,Van Kesteren,Dave
35014,Durham,Libertarian,Barnicoat,Blaize
35014,Durham,Liberal,Humes,Grant
35014,Durham,Green,Leahy,Stephen
35014,Durham,Christian Heritage,Moriarity,Andrew
35014,Durham,Conservative,Oda,Bev
35014,Durham,NDP,Schoep,Tammy
35015,Davenport,NDP,Cash,Andrew
35015,Davenport,Communist,Figueroa,Miguel
35015,Davenport,Animal Alliance Environment Voters,Luisi,Simon
35015,Davenport,Conservative,Rodrigues,Theresa
35015,Davenport,Green,Scott,Wayne
35015,Davenport,Liberal,Silva,Mario
35016,Don Valley East,Conservative,Daniel,Joe
35016,Don Valley East,NDP,Hynes,Mary Trapani
35016,Don Valley East,Christian Heritage,Kidd,Ryan
35016,Don Valley East,Liberal,Ratansi,Yasmin
35016,Don Valley East,Green,Sadikali,Akil
35017,Don Valley West,Conservative,Carmichael,John
35017,Don Valley West,Communist,Kabitsis,Dimitris
35017,Don Valley West,Liberal,Oliphant,Rob
35017,Don Valley West,Green,Wilcock,Georgina
35017,Don Valley West,NDP,Yovanoff,Nicole
35018,Dufferin--Caledon,NDP,Parsons,Leslie
35018,Dufferin--Caledon,Liberal,Prout,Bill
35018,Dufferin--Caledon,Conservative,Tilson,David
35018,Dufferin--Caledon,Green,Van Leeuwen,Ard
35019,Eglinton--Lawrence,Green,Baker,Paul William
35019,Eglinton--Lawrence,NDP,Chatwin,Justin
35019,Eglinton--Lawrence,Conservative,Oliver,Joe
35019,Eglinton--Lawrence,Liberal,Volpe,Joe
35020,Elgin--Middlesex--London,Canadian Action,Arlow,Will
35020,Elgin--Middlesex--London,Green,Fisher,John
35020,Elgin--Middlesex--London,Christian Heritage,Hiemstra,Carl
35020,Elgin--Middlesex--London,Conservative,Preston,Joe
35020,Elgin--Middlesex--London,NDP,Sinclair,Fred
35020,Elgin--Middlesex--London,Liberal,Warwick,Graham
35021,Essex,Green,Carriveau,Cora
35021,Essex,NDP,Natyshak,Taras
35021,Essex,Liberal,Santos,Nelson
35021,Essex,Marxist-Leninist,Villamizar,Enver
35021,Essex,Conservative,Watson,Jeff
35022,Etobicoke Centre,Conservative,Opitz,Ted
35022,Etobicoke Centre,NDP,Rivero,Ana Maria
35022,Etobicoke Centre,Marxist-Leninist,Thompson,Sarah
35022,Etobicoke Centre,Liberal,Wrzesnewskyj,Borys
35022,Etobicoke Centre,Green,Zoricic,Katarina
35023,Etobicoke--Lakeshore,Green,Corail,Dave
35023,Etobicoke--Lakeshore,NDP,Erickson,Michael
35023,Etobicoke--Lakeshore,Liberal,Ignatieff,Michael
35023,Etobicoke--Lakeshore,Marxist-Leninist,Murray,Janice
35023,Etobicoke--Lakeshore,Conservative,Trottier,Bernard
35024,Etobicoke North,NDP,Andrews,Diana
35024,Etobicoke North,Marxist-Leninist,Di Carlo,Anna
35024,Etobicoke North,Liberal,Duncan,Kirsty
35024,Etobicoke North,Libertarian,Dvornyak,Alex
35024,Etobicoke North,Christian Heritage,Gardner,John C.
35024,Etobicoke North,Conservative,Lamba,Priti
35025,Glengarry--Prescott--Russell,Liberal,Bourgeois,Julie
35025,Glengarry--Prescott--Russell,Libertarian,Brisson,Jean-Serge
35025,Glengarry--Prescott--Russell,Conservative,Lemieux,Pierre
35025,Glengarry--Prescott--Russell,Green,Lemieux,Sylvie
35025,Glengarry--Prescott--Russell,NDP,Séguin,Denis A.
35026,Bruce--Grey--Owen Sound,NDP,Gventer,Karen
35026,Bruce--Grey--Owen Sound,Green,Hogbin,Emma
35026,Bruce--Grey--Owen Sound,Liberal,Love,Kimberley
35026,Bruce--Grey--Owen Sound,Conservative,Miller,Larry
35027,Guelph,Libertarian,Bender,Philip
35027,Guelph,Conservative,Burke,Marty
35027,Guelph,Communist,Garvie,Drew
35027,Guelph,Marijuana,Klevering,Kornelis
35027,Guelph,Green,Lawson,John
35027,Guelph,Animal Alliance Environment Voters,Levenson,Karen
35027,Guelph,NDP,Stewart,Bobbi
35027,Guelph,Liberal,Valeriote,Frank
35028,Haldimand--Norfolk,Christian Heritage,Elgersma,Steven
35028,Haldimand--Norfolk,Green,Faulkner,Anne
35028,Haldimand--Norfolk,Conservative,Finley,Diane
35028,Haldimand--Norfolk,NDP,Nichols,Ian
35028,Haldimand--Norfolk,Liberal,Speller,Bob
35029,Haliburton--Kawartha Lakes--Brock,Conservative,Devolin,Barry
35029,Haliburton--Kawartha Lakes--Brock,NDP,Edwards,Lyn
35029,Haliburton--Kawartha Lakes--Brock,Green,Lauten,Susanne
35029,Haliburton--Kawartha Lakes--Brock,Liberal,Redman,Laura
35030,Halton,NDP,Heroux,Pat
35030,Halton,Liberal,Laurin-Bowie,Connie
35030,Halton,Conservative,Raitt,Lisa
35030,Halton,Green,Remigio,Judi
35030,Halton,Christian Heritage,Rodrigues,Tony
35031,Hamilton Centre,Marijuana,Baldasaro,Michael
35031,Hamilton Centre,Conservative,Byron,Jim
35031,Hamilton Centre,NDP,Christopherson,David
35031,Hamilton Centre,Marxist-Leninist,Nussey,Lisa
35031,Hamilton Centre,Liberal,Tennier,Anne
35032,Hamilton East--Stoney Creek,Conservative,Clark,Brad
35032,Hamilton East--Stoney Creek,Marxist-Leninist,Fields,Wendell
35032,Hamilton East--Stoney Creek,Green,Hart Dyke,David
35032,Hamilton East--Stoney Creek,Progressive Canadian,Hill,Gord
35032,Hamilton East--Stoney Creek,Canadian Action,Innes,Bob Green
35032,Hamilton East--Stoney Creek,Communist,Mann,Bob
35032,Hamilton East--Stoney Creek,NDP,Marston,Wayne
35032,Hamilton East--Stoney Creek,Libertarian,Pattinson,Greg
35032,Hamilton East--Stoney Creek,Liberal,Stockwell,Michelle
35033,Hamilton Mountain,Independent,Adamiec,Henryk
35033,Hamilton Mountain,Conservative,Anderson,Terry
35033,Hamilton Mountain,Liberal,Bountrogianni,Marie
35033,Hamilton Mountain,Green,Brotherston,Stephen
35033,Hamilton Mountain,NDP,Charlton,Chris
35033,Hamilton Mountain,Christian Heritage,Enos,Jim
35034,Huron--Bruce,Liberal,Bagnato,Charlie
35034,Huron--Bruce,Conservative,Lobb,Ben
35034,Huron--Bruce,NDP,Robertson,Grant
35034,Huron--Bruce,Green,Shelley,Eric
35034,Huron--Bruce,Independent,Valenta,Dennis
35035,Kenora,NDP,Cameron,Tania
35035,Kenora,Independent,Chicago-Boucher,Kelvin
35035,Kenora,Conservative,Rickford,Greg
35035,Kenora,Green,Schwindt,Mike
35035,Kenora,Liberal,Valley,Roger
35036,Kingston and the Islands,NDP,Beals,Daniel
35036,Kingston and the Islands,Conservative,Gordon,Alicia
35036,Kingston and the Islands,Liberal,Hsu,Ted
35036,Kingston and the Islands,Green,Walton,Eric
35037,Kitchener Centre,Marxist-Leninist,Corbiere,Mark
35037,Kitchener Centre,Liberal,Redman,Karen
35037,Kitchener Centre,Independent,Rimmer,Alan
35037,Kitchener Centre,Communist,Suter,Martin
35037,Kitchener Centre,NDP,Thurley,Peter
35037,Kitchener Centre,Green,Williston,Byron
35037,Kitchener Centre,Conservative,Woodworth,Stephen
35038,Kitchener--Conestoga,Conservative,Albrecht,Harold
35038,Kitchener--Conestoga,Green,Ashley,Albert
35038,Kitchener--Conestoga,NDP,Bruce,Lorne
35038,Kitchener--Conestoga,Liberal,Rosehart,Bob
35039,Kitchener--Waterloo,Conservative,Braid,Peter
35039,Kitchener--Waterloo,NDP,Brown,Bill
35039,Kitchener--Waterloo,Marxist-Leninist,Ichim,Julian
35039,Kitchener--Waterloo,Green,MacLellan,Cathy
35039,Kitchener--Waterloo,Pirate,Scott,Steven Bradley
35039,Kitchener--Waterloo,Liberal,Telegdi,Andrew
35039,Kitchener--Waterloo,Independent,Walsh-Bowers,Richard
35040,Lanark--Frontenac--Lennox and Addington,Green,Baranyi,John
35040,Lanark--Frontenac--Lennox and Addington,Independent,Lee,Ralph
35040,Lanark--Frontenac--Lennox and Addington,Conservative,Reid,Scott
35040,Lanark--Frontenac--Lennox and Addington,Liberal,Remington,David
35040,Lanark--Frontenac--Lennox and Addington,NDP,Smyth,Doug
35041,Leeds--Grenville,Conservative,Brown,Gord
35041,Leeds--Grenville,NDP,Gabriel,Matthew
35041,Leeds--Grenville,Liberal,Loveys,Marjory
35041,Leeds--Grenville,Green,Slade,Mary
35042,London--Fanshawe,Liberal,Caranci,Roger
35042,London--Fanshawe,Conservative,Chahbar,Jim
35042,London--Fanshawe,NDP,Mathyssen,Irene
35042,London--Fanshawe,Green,Peloza,Matthew
35042,London--Fanshawe,Christian Heritage,Rancourt,G.J.
35043,London North Centre,NDP,Gutierrez,German
35043,London North Centre,Green,Hodge,Mary Ann
35043,London North Centre,Liberal,Pearson,Glen
35043,London North Centre,Conservative,Truppe,Susan
